"","GSM1169222","GSM1169223","GSM1169224","GSM1169225","GSM1169226","GSM1169227","GSM1169228","GSM1169229","GSM1169230","GSM1169231","GSM1169232","GSM1169233","GSM1169234","GSM1169235","GSM1169236","GSM1169237"
"'PCCGCIGL_07526'",0.0928841650033639,0.0169524808399373,0.0223007128573937,-0.0745528367830853,0.0984477896153369,0.209353942313122,0.0199999806458523,0.220142819985655,0.38374139721028,0.399159288470265,0.537071926295866,0.434616138852052,0.249679064388495,0.171773282563537,0.192340550503625,0.0560413500981609
"'PCCGCIGL_05523'",-2.67871119992565,NA,NA,-1.8689633640816,0.313838737647264,0.137006767877428,-0.713345434597316,-0.687888415390277,-0.974543775364975,0.218212281313512,0.17014636989238,-0.931271405327605,-0.232328672315938,NA,2.14999091421153,-0.329097797104123
"'PCCGCIGL_05523'",-0.0888642311816478,-0.417931979745898,-0.406724923761688,-0.210512049414343,-0.464246895223115,-0.30252702819017,-0.345467821524713,-0.227103818102566,-0.478380801922872,-0.193057627857312,0.0222450977412716,-0.261961748491504,-0.0412249868510592,-0.166739679857007,-0.484251885967613,-0.381021904603909
"'PCCGCIGL_06286'",-1.65868389285475,-1.55232398206389,-1.45369544402559,-1.50526143246455,-1.65841038645429,-1.3204154984164,-1.51433195063537,-1.40934641407635,-1.30709888585989,-1.22335819454625,-1.37103948658324,-1.30477396286914,-0.156806214056071,-0.501332315648123,-0.375191173808465,-0.335300038824255
"'PCCGCIGL_07254'",0.305078897430643,0.348793024209427,0.0142929775025086,0.416085804633291,0.763036935000027,0.795990441010127,0.81829997194685,0.658043729075967,-0.830659179645378,-0.480707327920094,-0.589496304225279,-0.551570672856433,0.04349212038127,0.0443231541859374,0.130403266465312,0.251152406614383
"'PCCGCIGL_07601'",-0.143271330589039,-0.186134049635091,-0.263772019602506,0.139722681790895,-0.686966551306879,-0.462640450285577,-0.734447348553147,-0.675610501661182,0.518288013178602,0.712792697408681,0.914200671341116,0.336607156872017,0.493890056017021,0.0499533583574941,0.0253392353934455,-0.216054750732897
"'PCCGCIGL_01725'",-0.187248980512427,-0.629813387235817,-0.603459241556228,-0.345052587262671,-0.247848696048357,-0.333749824786312,-0.615049794820557,-0.428859067823014,-0.0427971652404885,-0.874732182029327,-0.848766470619831,-0.775099281461754,-0.892828422187891,-1.08408097657729,-1.06272212123788,-0.792109747793038
"'PCCGCIGL_05148'",0.536543722376695,0.436526866492838,0.679675706882642,0.502615051944186,0.329653164002846,0.404097057456785,0.309192159081106,0.377692512051599,0.245955166663065,0.0206061584700359,0.147050092464718,0.0395283290049038,-0.247840607860091,-0.0607223467527353,-0.236422076338845,-0.0511197084538068
"'PCCGCIGL_05148'",1.44368387739534,1.48273839904918,1.34409364567543,1.45656884402213,1.17591372428173,1.14695173393967,1.28548649275586,1.39369892910018,2.25242254730903,1.96216565770637,1.93614584894809,2.07932313109399,-0.696257721325795,-0.175927046191632,-0.270777204267169,-0.129789962013728
"'PCCGCIGL_05148'",0.223667600737691,0.497597954102164,0.424944195901744,0.462764111864789,0.269323679116991,0.272352808691854,0.275893117874161,0.206150420531778,0.73641703043678,0.825295404791268,0.875064994967696,0.663170062925418,-0.665525259357163,-0.386417788561072,-0.354195247237095,-0.615910532901536
"'PCCGCIGL_08092'",-0.209513130353927,-0.505727492116299,-0.291902936462495,-0.347710453773822,0.0170471884630932,0.116539699294237,-0.0419894949983213,0.0508027220640637,-0.585029301547474,-0.322949933755569,-0.263978652501363,-0.366314920207426,0.620102342909423,0.552728388984347,0.707921715764693,0.459783436341044
"'PCCGCIGL_05079'",0.156930771029909,0.271779679349023,0.0288404462058711,0.111762310135625,0.221608952996614,0.404342386886479,0.191394696994692,0.353671389163005,-0.655687037813269,-0.513935170825661,-0.394012155744526,-0.505628379900597,-0.302496009707291,0.1453501583402,-0.242935924055502,-0.289537098997226
"'PCCGCIGL_07962'",-0.0133942482313246,0.170690219546651,0.143739995658894,0.220284985924763,0.214705476613367,0.261500255621724,0.17820940039017,0.0214742103765905,-0.272882455255194,-0.116250771645458,-0.345800822515333,-0.148691165434283,0.460854163936574,0.22148183536937,0.480718630228895,0.29025703785803
"'PCCGCIGL_05186'",-0.77994106900259,-0.78297437084679,-0.633241636709507,-0.687134622646978,-0.606343193801332,-0.216974650194296,-0.553049908927331,-0.495556449032398,-0.615286488734431,-0.445735513579461,-0.340545616148988,-0.704203769825766,0.371502058140247,0.499253633578594,0.585264210427755,0.644281393405446
"'PCCGCIGL_05186'",0.808793126857418,1.15839185024269,1.06304016357427,1.04294894746094,0.999586434091427,1.01244826623009,1.02488901841895,0.960473710324242,0.757364149702108,1.15706524280042,0.893536631521445,1.25207980759552,0.059080555907577,1.08892100602479,0.54060420176695,0.982294565258394
"'PCCGCIGL_04132'",0.184973173786963,0.108774500711228,0.0753386613390078,-0.0439364234452544,-0.153539501045402,-0.262769460976051,-0.309634867466881,-0.237153485185187,0.168943774146308,0.0473393452502393,0.193616039623833,0.0561946064536591,0.0113236818941329,0.182613804019139,-0.162100279954219,0.143383678652374
"'PCCGCIGL_04132'",-0.349991938554434,-0.207965084965703,-0.40520733348328,-0.336145696388469,-0.545374494597311,-0.416519529252422,-0.752145246049329,-0.394506924692247,-0.0989229663920964,0.112404099914434,0.0383017164040621,0.0880098186899604,0.156528391191683,-0.0325421621688349,-0.131941772199716,0.102969779576498
"'PCCGCIGL_06536'",0.827697082801654,0.888790831914227,1.20562816753625,0.992899131576098,1.40487462691668,1.58571473293675,1.25572916285119,1.23188404736831,-0.670147794539659,-0.542036049687871,-0.596650019445933,-0.1872260917067,0.364434121335724,0.984038412910055,0.881983615574502,1.26554470740698
"'PCCGCIGL_06536'",-1.2709978271288,-1.18082687875301,-1.38037843566655,-1.41861987067482,-0.932743524365773,-1.88927953818029,-1.05434422190766,-1.09421712178873,-0.131941135056911,0.223134477673524,0.54663101266376,-0.117867642927798,-0.0303224488658795,0.205824437304056,0.386305238419294,-0.482688104677129
"'PCCGCIGL_05678'",-0.0117002754915874,0.0274278310812182,-0.108601311405682,0.0322910816025605,0.270317837019517,0.340149853969161,0.204441904969842,0.14302172234757,-0.369643398670716,-0.249991828089433,-0.33721348589755,-0.302637970731651,-0.511904094147896,-0.224754520441116,-0.44089826943318,-0.22856319893811
"'PCCGCIGL_05678'",0.859692923212278,0.781021586177782,0.962403996418822,0.914154616659874,0.56567700629489,0.643664145278282,0.604315343765856,0.653997222549314,0.490669404638403,0.626033729242837,0.575017780795193,0.558203914597278,-0.0717364594246318,-0.00309971405453859,-0.27714369197737,-0.106643104540254
"'PCCGCIGL_02823'",-0.162463535427464,-0.00799482772728273,-0.173829243412193,-0.113740742531231,-0.121206426402328,-0.204175043941163,-0.320912386649072,-0.219133063942563,-0.270186133845008,-0.254618553725432,-0.303533381699066,-0.314310367196319,0.235128652298645,0.388479250195076,0.383156806499925,0.343714471759296
"'PCCGCIGL_03291'",-0.153848861684301,-0.188032846588534,-0.285654555380147,0.330061884956668,-0.097012247956328,-0.212016933150712,-0.196231141798557,0.0391578253187727,-0.168180783003453,-0.0796732177499926,-0.135090002479524,-0.206370224988398,-0.126633236791969,0.182765487948485,0.199699863419297,0.414216178904177
