
"ID_REF"	"GSM1169222"	"GSM1169223"	"GSM1169224"	"GSM1169225"	"GSM1169226"	"GSM1169227"	"GSM1169228"	"GSM1169229"	"GSM1169230"	"GSM1169231"	"GSM1169232"	"GSM1169233"	"GSM1169234"	"GSM1169235"	"GSM1169236"	"GSM1169237"
"Contig101.1.B:121"	-0.021009483	-0.283813459	-0.239493253	-0.302841569	-0.012777145	0.337464026	0.018457165	0.315638464	-0.832403219	-0.608069366	-0.498853823	-0.272136808	0.114604077	0.261840697	-0.116524237	-0.172878383
"Contig102.2.A:316"	0.29488446	0.351226549	0.274594077	0.424263368	0.284419882	0.462154678	0.417125564	0.162965415	0.256422796	0.581980355	0.541518065	0.235872629	0.226906402	0.052190221	0.257995588	0.32746087
"Contig103.2.A:941"	-1.522328632	-1.409890955	-1.498844415	-1.619901829	-1.554426696	-1.479996785	-1.804632238	-1.402490361	-0.392123685	-0.243565087	-0.517904532	-0.330131224	-0.10645968	-0.184246617	-0.293838478	-0.109693391
"Contig104.1.A:111"	-0.034986122	-0.138540955	-0.163714816	-0.093081523	-0.127956147	-0.185059331	-0.198852326	-0.223625897	-0.4511413	-0.459020452	-0.571451275	-0.426797641	-0.26421977	-0.360874491	-0.147840703	-0.32938795
"Contig105.1.A:410"	-0.481060438	-0.574983434	-0.406556858	-0.742437564	-0.657177563	-0.576854257	-0.497646049	-0.604639595	-0.636975983	-0.628782881	-0.469633333	-0.486471819	0.36094505	-0.077145221	0.251229877	0.426702205
"Contig105.2.A:627"	-0.786417707	-0.785420186	-0.735670751	-0.705664418	-0.705346615	-0.85165219	-0.852708452	-0.614464726	-0.398130302	-0.335079358	-0.532638782	-0.42804213	0.044216708	0.136018509	0.188802371	0.143008762
"Contig106.1.A:1149"	0.635224657	0.823774755	1.053435809	0.634373172	1.120936419	1.588319657	0.958754203	1.158309855	1.252398327	1.119490627	1.334363223	1.190899779	-0.268882289	-0.475087064	-0.116004719	-0.155340462
"Contig107.2.A:500"	0.151158535	0.212659853	0.100001565	0.139829506	0.146412609	0.143517637	0.111378067	0.094527539	0.660786463	0.555418844	0.430803661	0.62436388	-0.01313776	0.229583077	0.209355638	0.058283586
"Contig107.2.B:1141"	-0.862453192	-0.819102723	-0.948524897	-1.023059128	-0.714054239	-0.89761168	-0.761730638	-0.868049416	0.099472565	-0.086484727	-0.362115733	-0.441321329	-0.973467667	-1.653893842	-1.401228486	-1.345836377
"Contig107.3.A:65"	-0.561511894	-0.572142463	-0.678486124	-0.934572227	-0.73480564	-0.732103435	-0.649844751	-0.609550074	0.117784909	0.075856005	0.093260525	0.02047655	-0.905006555	-1.358873597	-1.469853967	-1.351531609
